15M          Fifteen minutes
RL           Resistance lamp
RL           Retry later
RL           Return loss
RLSD         Released msg. (SS7: in SCCP)
RLS          Release
RLST         Release status
RLT          Remote line test
RLT          Remote loop test
RLY          Miscellaneous relay
RMAC         Remote memory administration center
RMA          Request for manual assistance
RMAS         Recent message automatic system
RMAS         Remote memory administration
RMAS         Remote memory administration system
RMK          Hunt group remarks
RMK          Remarks
RMK          Remarks on cable pair
RMK          Remarks on office equipment
RMK          Remarks on orders
RMK          Remarks on telephone number
RMM          Remote maintenance module
RMPK         Remote shelf
RMP          Recent change punctuation table
RM           Remark
RMR          Remote message registers
RMS-D1A      Remote measurement system-digital signal level one access
RMS-D1       Remote measurement system-digital signal level one
RMS-D        Remote measurement system-digital
RMS-M        Remote measurement system-metallic (through SMAS)
RMS-MS       Remote measurement system-metallic small (through SMAS)
RMS          Remote mean square
RMS          Root-mean-square
RMV          Remove
RMV          Removed from service - 1AESS remove
RNA          Release telephone numbers for assignment
RNG          Ringing
RNGS         Rings
RNMC         Remote network management center
RNOC         Regional network operations center
RNO          Rss subentity number
RN           Reference noise
RN           Ring node
RNR          Receive not ready (LAP-D command/response)
ROB          Remote order buffer
ROC          Regional operating company
RODD         Redundant ODD
ROE          Reservation order establishment
ROE          Rss's office equipment
ROH          Receiver off hook
ROI          Reservation order inquiry
ROK          Republic of korea
ROM          Read-only memory
ROOT         System manager for some unix os and COSMOS
ROP          Receive-only printer
R/O          Read/only
RO           Receive only
RO           Routine other.
ROSE         Remote operation service element (TCAP subset)
ROTF         Operational trouble.
ROTL         Remote office test line
ROTLS        Remote office testline system
ROUT         Routes
ROW          Reservation order withdrawal
RPFC         Read power feed current value (IOM2 monitor command)
RPM          Recent change parameters
RPOA         Recognized private operating agency
RPO          Regional procurement organization
RP           Repeater
RPT          Repeated
RPT          Report
RQ           Rpntr
RQSM         Regional quality service management
RQS          Rate/quote system
RQST         Request
RRCLK        Remote clock circuit pack
R            Review pending dispatch
R            Ring
RRO          Reports receiving office
R&R          Rate & route
RR           Receive ready (LAP-D command/response)
RSA          Repair service attendant
RSAT         Reliability and system architecture testing
RSB          Repair service bureau
RSB          Repair servicenbureauem
RSC          Remote switching center
RSC          Reset confirm (SS7: in SCCP and ISUP)
RSC          Residence service center
RSCS         Remote source control system
RSE          Remote service equipment
R&SE         Research & systems engineering
RSHF         Remote concentration line shelf
RSIT         Remote site
RSLC         Remote subscriber line module controller
RSLE         Remote subscriber line equipment
RSLM         Remote subscriber line module
RSM          Remote switching module
RS           Radiated susceptibiltiy (EMS)
RS           Record separator (ascii control)
RS           Repair service
RS           Reset
RSS          Remote switching system
RST          Reset received (outgoing)
RST          Resistance test
RST          Resistance test (SARTS command)
RST          Restore
RST          Restored to service status - 1AESS restore
RSTS/E       Resource system time sharing/enhanced
RSU          Remote switching unit
RSYD         Rsy downstream
RSY          Resynchronizing (C/I channel code)
RSYU         Rsy upstream
RT04         Status of monitors - ringing and tone plant-1AESS
RTAC         Regonal Technical Assitance Center
RTAC         Remote a trunk assembler center
RTA          Remote trunk arrangement
RTA          Remote trunking arrangement
RTB          Retransmission buffer
RTCA         Radio technical commission of aeronautics
RTEST        Tops remote test
RTF          Release timeout failure
RTH          Report transaction to count spare and diped line equipment
RTIME        Release time (update database time)
RTI          Route index
RTL          Resistor-transistor logic
RTM          Regional telecommunications management
RTM          Remote test module
RTN          Return to normal (in EOC)
RTOC         Resident telephone order center
RTPP         Remote test port panel
RTP          Rate treatment package
RTP          Remote test point (RTS-5A)
RT           Radio landline INTER/TRA blocal 1-26
RT           Remote terminal
RT           Remote terminal (opposite to cot)
R-T          Ring-to-tip
RTR          Route TReatment (GTE)
RTRV         Retrieve
RTSE         Reliable transfer service element
RTSI         Receive time slot interchanger
RTS          Relay and telephone number status report
RTS          Remote testing system
RTS          Remote test unit
RTS          Request to send
RTS          SMAS remote test system located in central offices
RTU          Remote trunking unit
RTU          Right to use
RTZ          Rate zone
RUM          Remote user multiplex
RUP          Request unsolicited processing
RU           Receive unit
RVDT         Review date and time
RVPT         Revertive pulsing transceiver
RVPT         Revertive pulsing transceivers
RV           Review
RWC          Remote work center
R/WM         Read/write memory
R/W          Read write
RW           Read/write permission
RX           Remote exchange
RxSD         Receive serial data
RZ           Resistance zone
RZ           Return to zero
S1DN         Stage one distribution network
S96          SLC 96
SA01         Call store memory audit results - 1AESS software
SAA          System applications architecture (for ps/2)
SABME        Set asynchronous balanced mode (ABM) extended (LAP-D command)
SAC          Service access connector (-> sipb)
SAC          Service area computer
SAC          Special area code
SAC          Switch activation
SAD          System access delay
SAG          Street address guide
SAI          S activity indicator (in EOC)
SAI          Serving area interface
SAI          Summary of action items
SALI         Standalone automatic location identification
SAMA         Step by step automatic message accounting
SAMEM        Stand-alone billing memory
SAM          Subsequent address msg. (SS7: in ISUP)
SANE         Signaling area/network code (SS7)
SAPI         Service access point identifier
SAP          Service access point
SAR          Store address register
SARTS        Switch access tremote test system
SARTS        Switched access remote test system
SA           Sattelite trunk INTER/TRA blocal 1-26
SAS          Switched access service
SASWF        Save all seems well failure flip flop
SAT          Special access termination
SAT          Supervisory audio tone
SAT          System access terminal
SAW          Surface acoustic wafe (filter)
SBC          S bus interface circuit
SBCX         SBC extended
SBI          Synchronous backplane interconnect
SBLN         Standby line
SBMS         Southwestern bell mobile service
SBS          Skyline business systems
SB           Switched access-standard-service code for LATA access
SBUC         S bus connector
SCANS        Software change administration and notification system
SCA          Service order completion-automatic
SCAT         Stromberg-carlson assistance team
SCCP         Signaling ccp (SS7: q.71x)
SCCP         Signaling connection control part
SCC          Specialized common carrier
SCCS         Specialized common carrier service
SCCS         Switching control center system
SCC          Station cluster controller
SCC          Switching control center
SCC          Switching control center.
SCF          Selective call forwarding
SCF          Simple completion for mdf
SCHED        Scheduled
SCH          Test scheduale (command)
SCI          Spare cable pair inquiry
SCLK         Slave clock
SCL          Station clock
SCM          Scramble coder multiplexer
SCM          Standard completion by mdf
SCM          Subscriber carrier module
SCM          Subscriber carrier module (DMS-1 digital pair gain system NTI)
SCO          Serving central office
SCOTS        Surveillance & control of transmissions system
SCOT         Stepper central office tester
SCPC         Signal channel per carrier
SCPD         Supplementary central pulse distributor
SCP          Service control point
SCP          Service order completion by LAC
SCP          Signal control point
SCP          Signal conversion point
SCP          System control program
SCRC         Send corrected reference equivalent
SCRN         Screening translations
SCR          Selective call rejection
SCR          Signaling configuration register
SCR          Standard completion by rcmac
SC           Scanner controller
SCSDH        Scanner and signal distributor handler
SC/SD        Scan and signal distributor
SC           Sectional center
SCS          SCM-10S shelf (SLC-96)
SCS          SCM-10S Shelf (SLC-96)
SC           System controller
SCU          Selector control unit
SCX          Specialized communications exchange
SDACS        Serving digital accessed and cross-connect system
S            Date and time report received.
SDC          Sales development center
SDDF         Subscriber digital distributing frame
SDD          Site dependent data
SD&D         Specific development & design
SDE          Submission/delivery entity (x.400)
SDIS         Switched digital integrated service
SDLC         Synchronous data link control
SDLC         Synchronous DLC
SDLH         Synchronous data link handler
SDL          Specification and description language
SDM          Space division multiplex
SDNBAS       Call failed due to the query's being blocked at the switch
SDNBN        Call failed due to the query's being blocked in the CCS network
SDNGTCAP     Garbled TCAP message received
SDNNCANI     CAMA call failed due to CAMA trunk's not providing ANI for query
SDNNCFA      Call failed while the transaction with the NCP was active
SDNNCFI      Call failed while the transaction with the NCP was inactive
SDNNOCANI    CAMA call failed due to CAMA trunk's not providing ANI through ONI for query
SDNRER       Call failed because to the conversation with the NCP resulted in a return error
SDNRER       Call failed because to the conversation with the NCP resulting in a return error
SDNRR        Call failed because to the conversation with the NCP resulted in a reject respon
SDNRR        Call failed because to the conversation with the NCP resulting in a reject respo
SDN          Software defined network
SDN          Software-defined network
SDNTIM       Call failed due to the query's not being answered in time by the NCP
SDNTRF       Call failed due to the NCP's answering with a terminate request
SDOC         Selective dynamic overload controls
SDP          Service delivery point
SDP          Submission and delivery protocol (x.411)
SDPT         Signal distribution points
SDR          Store data register
SDR          Switch data report
SDSC         Synchronous data set controller
SD           Slip detected
SDS          Switched data service
SDS          Synchronous data set
SD           Switched access-improved-service code for LATA access
SDT          Software development tools
SEAS         Signaling engineering and administration system
SEAS         Signalling engineering and administration systems
SEC          Second
SEC          Signal level behind the echo canceller (C/I channel code)
SEE          Systems equipment engineering
SEG          Segment
SEL          Digital selector (in TMS)
SEL          Selecting lines for an exchange class of service study
SER#         Seral number
S&E          Service & equipment
SE           Special access wats-access-std-service code for LATA access
SE           Special service equipment number
SES          Service evaluation system
SES          Unk    (administrative system)
SET          Statistics on equipment and telephone numbers
SET          Strategy execution table
SFB          Set next febe to zero
SFD          Superframe detected (C/I channel code)
SFG          Simulated facilities
SFG          Simulated facilities group
SFG          Simulated facility group
SFG          Simulated facility group (SFG) measures.
SFMC         Satellite facility management center
SFN          Simulated facility number
SF           Service field
SF           Signal format
SF           Single frequency.
SF           Special access- WATS access line improved-service code for LATA
SF           Status field (SS7)
SFV          Signal format verification
SFV          Signaling format verification (SARTS command)
SG           Control/remote metering signal grade INTER/TRA blocal 1-26
SGC          Switching group control
SGD          Failure to receive station group designator (SGD)
SGH          Select graphic rendition (teletex)
SGH          Supply relays for groups of 5xb hunts
SGL          Single
SGML         Standard generic markup language
SGMP         Simple gateway management protocol
SGN          Common language segment number
SG           Supergroup
SG           Switch group (SG) (also known as half-grid)
SHI          Select horizontal spacing (teletex)
SICOFI2      2 channel sicofi
SICOFI       Signal processing codec filter
SIC          Silicon integrated circuit
SIDB         Session information data base
SIDES        Siemens ISDN software development and evaluation system
SID          System identification
SIF          Signaling information field (SS7)
SIGI         Sigi
SIG          Signaling
SIG          Signaling equipment (in a trunk)
SIGS         Signaling strobe
SILC         Selective incoming load control
SILC         Selective incoming load controls messages.
SIM          System integrity monitor
SIN          Status indication normal alignment
SIO          Service information octet (SS7)
SIPB 5XXX    SIPB modules
SIPB 7XXX    SIPB configurations
SIPB         Siemens ISDN pc user board
SIPMOS       Siemens PMOS
SIPO 6XXX    Siemens ISDN pc software object code
SIPS 6XXX    Siemens ISDN pc software source code
SIP          Serial interface port
SIR          Sorting inquiry by range
SI           Sequenced information
SI           Service indicator
SI           Shift in (ascii control)
SIS          Special identifying telephone number supplement
SI           Status indicator
SI           Synchronous interface
SITAC        Siemens isolated thyristor AC
SITE         Site assignments
SITEST       Siemens ISDN protocol software test tools
SIT          Special identifying telephone number
SIT          Special information tones
SIU          Subscriber line interface unit
SJ           Limited switched access line-service code for LATA access
SK           Skip
SK           Skip option
SLA          Subscriber line adress
SLB          Subscriber line busy
SLC          Signaling link code (SS7)
SLC          Subicer loop carrier
SLC          Subscriber line counts for custom calling features
SLC          Subscriber loop carrier
SLD          Subscriber line data (bus)
SLEN         SLC line equipment number
SLE          Screening line editor
SLE          Screen list editing
SLIC         Subscriber line interface circuit
SLIM         Subscriber line interface module
SLIM         Subscriber loop interface module
SLK          Signaling link
SLMA         SLM analog
SLMD         SLM digital
SLM          Subscriber line module
SLPK         SLC-96 pack
SLRF         Systemiletterntenance results feature (eadas)
SL           Secretarial line INTER/TRA blocal 1-26
SLSN         Unk COSMOS
SLS          Signaling link selection (SS7)
SL           Subscriber line
SLU          Special studies
SMAC         Service and maintenance administration center
SMASF        SMAS frame
SMASPU       SMAS power unit
SMAS         Switched maintenance access system
SMAS         Switched maintenance access system (provides access to the RMS-M and RTS)
SMDF         Subscriber main distributing frame
SMDI         Subscriber message desk interface
SMDR         Station message detailed recording
SMDR         Station message detail record
SMDR         Station message detail recording
SMDS         Switched multi-megabit data service
SMD          Surface mounted device
SMF          Sub multi frame
SMG          Supermastergroup
SMM          SARTS maintence manager (VAX 1/780)
SMP          SARTS maintenance position (TP 52a)
SMPU         Switch Module Processor Unit
SM           Same
SM           Sampling INTER/TRA blocal 1-26
SMSA         Standard metropolitan statistical area
SM           Service module
SM           Speech memory
SMS          Service management system
SMS          Station management systems
SMS          Switching Module System
SM           Switching modual
SM           Switching module
SM           Switch module
SM           Synchronous multiplexor
SMTP         Simple mail transfer protocol
SMU          Subscriber module urban
SMU          System master unit
SNADS        System network architecture distribution service
SNA          System network architecture (IBM)
SNA          Systems network architecture
SNET         Southern new england telephone
SNF          Serial number format
SNL          Signaling link  (CCS7)
SNLS         Signaling link set (CCS7)
SNRS         Signaling network route set (CCS7)
SN           Sequence number
S-N          Signal-to-noise ratio
SN           Special access termination INTER/TRA blocal 1-26
SNS          Service network system
SOAC         Service order analysis and control
SOB          Service observing assignments
SOB          Service observing tag
SOCC         Standard optical cable code
SOCC         Switching operation control center
SOC          Service order cancel
SOC          Service oversight center
SODC         Service order delayed completion
SOE          Service order establishment
SOE          Standard operating environment
SOF          Service order fix
SOH          Service order history
SOH          Service order withheld
SOH          Start of header
SOI          Service order assignment inquiry
SOI          Service order image
SOL          Service order listing
SOM          Modify a pending service order
SONAR        Service order negotiation and retrieval
SONDS        Small office network data system
SONET        Synchronous optical network
SORD         Service order dispach
SO           Service order
SO           Shift out
SOW          Service order withdrawal
SPACE        Service provisioning and creation environment
SPAN         Space physics analysis network
SPAN         System performance analyzer
SPARED       Line involved in ISLU sparing configuration.
SPA          Special access
SPCR         Serial port control register
SPCS COER    Stored-program control system/central office equipment report
SPC          Signaling poiny code (SS7)
SPC          Southern pacific communications
SPCSS        Stored program control switching system
SPCS         Stored programacontrolnsystem
SPCS         Stored program control system
SPC          Stored program control
SPC          Stored program controlled
SPDA         Supplier data program
SPD          Speed
SPFC         Special purpose function code
SPH          Session protocol handler
SPINT        Signal processor interrupt
SPI          Serial peripheral interface
SPL          Split
SPM          Split and monitor
SPM          Split and monitor (SARTS command)
SPOC         Single point of contact
SP           Signaling point
SP           Signal p
SP           Signal point (switching office in SS7)
SP           Signal processing
SP           Signal processor
SPS          Split and supervise
SPS          Split and supervise (SARTS command)
SP           Stimulus protocol
SPUC/DL      Serial peripheral unit controller/data link
SQA          Simulated facility group (SFG) announcement (SAQ)
SQD          Signal quality detector
SQ           Equipment only-customer premises INTER/TRA blocal 1-26
SQL/DS       Structured query language/data system
SRAM         Static ram
SRA          Selective routing arrangement
SRCF         Single line remote call forward
SRDC         Subrate data cross connect
SRDM         Subrate data multiplexer
SRI          Subscriber Remote Interface pack
SRI          Subscriber Remote Interface (RLCM)
SRL          Singing return loss
S/R          Send/receive key
SRV          Service
SRVT         SCCP Routing Verification Test
SS7          Signaling system #7 (ccitt)
SSA          Special service automation
SSAS         Station signaling and announcement subsystem
SSBAM        Single-sideband amplitude modulation
SSB          Single-sideband
SSB          Switched services bureau
SSCP         Subsystem services control point
SSC          Specal service center
SSC          Special service center
SSC          Special services center
SSC          Standard speech circuit     psb4500/-1
SSDAC        Specal services dispach administration centers
SS           Dataphone select-a-station INTER/TRA blocal 1-26
SSD          No second start dial wink
SSD          No second start dial wink (MDII)
S            Seconds
S            Send toscreener
SSF          Sub service field
SSI          Serial signal interface
S            Sleeve
SSN          Subsystem number
SSN          Switched service network
SSO          Satellite switching office
SSO          Satellite switching office assignments
SSPC         Ssp controller
SSPRU        Ssp relay unit
SSP          Send single pulses (C/I channel code for test mode)
SSP          Service switching point
SSP          Service switching points
SSP          Signal switching point
SSP          Sponsor selective pricing
SSP          Switching service points
SSP          System status panel
SS           Signaling system
SS           Special services
S            Start dial signal
SSTR         Selective service trunk reservation (SSTR).
SSTR         Service selective trunk reservation
SSTTSS       Space-space-time-time-space-space network
S-           Supervisory (S-frames)
SSWAP        Switching services work allocation precedures (GTE)
STAB         Station abbreviation file
STARS        Sampled traffic analysis and repo ts systems
ST           A signal that indicates the end of mf pulses (stop)
STA          Station sset
STATMUX      Statistical multiplexer
STB          Standby
STCR         Syncron transfer control register
STC          Service test center
STC          Serving test center
STC          Switching technical center
STDM         Statistical time division multiplexing
STD          Standard
STD          Subscriber trunk dialing
STEP         Services testing evolution platfoem
STEP         Sides static test of IOS and mf on board (in sitest)
STKE         Stack protect error
STLWS        Supplementary trunk and line work station
STM          Synchronous transfer mode
STN          Station definition
STN          Summarize telephone numbers
STOR         Memory storage
STORY        Screening tool for report files (IOS)
ST           Present status of telephone number
STP          Self test pass (IOM2 monitor message)
STP          Signal transfer point
STP          Signal transfer point (SS7)
STP          Stop
STRAT        Strategy
STS 2060     Sicofi software
ST           Self test request nt (IOM2 monitor message)
STS          Shared tenant service
STS          Space-time-space network
STS          Space-time-space switch (TMS-TSI-TMS)
STS          Station signaling
STS          Station signaling test (SARTS command)
STS          Steered tenant service
STS          Synchronous transport signal
ST           Start
ST           Subscriber terminal
STTP         Supplementalstrunkntest panel
STTP         Supplementary trunk test panel - trunk testing position (1ess)
STT          Telephone number status
STU 2000     Stand alone ISDN user board
STU 2040     Stand alone MTS user board
STU 2050     Stand alone PBC user board
STU 2060     Stand alone SICOF user board
STUDIALO     PC software for STU 2xxx
STX          Start of test
STX          Start of text
SU5IN        Subunit 5 interrupt
SU6IN        Subunit 6 interrupt
SU7IN        Subunit 7 interrupt
SUBL         Sublet service
SUB          Sub-addressing (i.251)
SUB          Substitute character (teletex)
SUB          Sub switch
SUERM        Su error rate monitor
SUFX         Sufix
SUM1         Summary screen
SUP          Supervision
SU           Signaling unit
SUSP         Suspend (i.451)
SUS          Suspend (SS7: in ISUP)
SU           Syndes units (syncronizers-dessyncronizers)
SVB          Serving bureau
SVC          Critical service circuits
SVC          Switched virtual circuit
SVC          Switched virtual circuits
SVL          Service observing loops
SVP          Surge voltage protector  various
SV           Slave
SVS          Select vertical spacing (teletex)
SVS          Switched voice service
SV           Switched voice
SWB          Southwestern bell
SWC          Same wire center
SWC          Set work code
SWEQF        Switch equipment failure.
SWFC         Sliding-window flow control
SWFN         Switch function file
SWG          Sub working group
SWS          Switched signaling
SWS          Switching signal test (SARTS command)
SWS          Switch work station
SWST         Switch signature table
SW           Switched
SW           Switch name
SX           Simplex (mode is a PT TR connected togeather)
SX           Simplex signaling
SxS          Step-by-step or strowger switch
SXS          Step by (X) step
SYC          System control
SYNDES       Synchonizer/dessynchonizer
SYN          Synchronous idle
SYP          Synchronisation pulse
SYSGEN       System generation
SYS          Machine number
SYS          System
SYS          System manager
SZD          Seized
T1FE         T1 carrier front end
T1/OS        T1 carrier outstate
TAB          Telephone ability battery
TACD         Telephone area code directory
TAC          Technical assistance center
TAC          Tei assignment control (IOS)
TAC          Terminal access circuit
TAC          Test and access circuit
TAD          Test access digroup
TAG          Translation administration group
TAI          Tie pair assignment inquiry
Talkoff      Take off
TAN          Technation access network
TAN          Test access network
TAP          Telephone assistance plan
TAP          Teletex access protocol (x.430: p5)
TAP          Test access path
TAP          Touchtone assignment priority number
TARE         Tariff table (AMA NTI)
TASC         Technical assistance service center
TASC         Telecommunications alarm and surveillance control
TASC         Telecommunications alarm surveillance and control system
TASI         Time assignment speech interpolartion
TASI         Time assignment speech interpolation system
TAS          Telephone answering service
TA           Tandem tie-trunk INTER/TRA blocal 1-26
TA           Terminal adaption
TA           Terminal adaptor
T&A          Toll and assistance
TA           Transfer allowed
TA           Transfer assembly
TATS         Trouble analysis of transmission and signaling
TAT          Test access trunk
TAT          Test alignment of frame terminal
TAT          Transatlantic telephone
TAU          Time assignment unit
T-BERD       T-carrier Bit Error Rate Tester
TBL          Trouble
TC15         Reports overall traffic condition - 1AESS traffic condition
TCAP         Telecommunications alarm surveillance
TCAP         Transaction capabilities application part
TCAP         Transaction capabilities applications port
TCAP         Transaction (ie sdngtcap)
TCAS         T-carrier administration system
TCAS         T-carrier administration system)
TCAS         T-carrier administrative system
TCA          Telephone company administration
TC           Control/remote metering-telegraph grade INTER/TRA blocal 1-26
TCC          Toll control center
TCC          Trunk class code
TCG          Test call generation
TCIF         Telecommunications industry forum
TCM          Time compression multiplexer
TCM          Trellis coded modulation
TCP          Transport control protocol (DOD)
TCR          Transient call record
TCSP         Tandem cross section program
TCS          Terminating code screening
TC           Timing counter
TC           To cable
TC           Toll center
TC           Transaction capabilities
TCU          Timing control unit
TDAS         Traffic data administration system
TDAS         Translation data assemblern system
TDC          Tape data controller
TDC          Telex destination code (ISO 7498)
TDC          Terrestrial data circuit
TDD          Telecommunications device for deaf
TDF          Trunk distributing frame
TDMA         Tdm access
TDM          Time division multiplex
T            Double wire pair
TDRS         Traffic datatrecorderasystem
TD           Test direction
TD           Tone decoders
TED          Text editor
TEHO         Tail end hop off
TEI          Terminal endpoint identifier
TELEX        Teleprinter exchange
TELNET       Virtual terminal protocol
TELSAM       Telephone service attitude measurement
TEN          Trunk equipment number
TERM         Terminate
TERM         Terminating
TER          Terminal
TEST         In test mode.
TET          Display or change band filter file
TE           Terminal equipment
TE           Transit exchange (contains PSF)
TE           Transverse electric
TFC          Transfer frame changes
TFLAP        T-carrier fault-locating application program
TFS          Trunk forecasting system
TF           Telephoto/facsimile INTER/TRA blocal 1-26
TFTP         Television facility test position
TGC          Manual trunk group controls messages.
TGC          Terminal group controller
TGID         Trunk group id
TGMEAS       Basic trunk group measurements
TGN          Trunk group number
T-GRND       Tip-ground
TG           Tip-to-ground
TG           Translation guide
THGP         Thousands groups
THL          Trans hybrid loss
TH           Trouble history
TIA          Telephone information access
TICOM        Treated interface common circuit.
TIC          Telecom ic (IOM-bus)
TIDE         Traffic information distributor & editor
TIG          Dial transfer input generator
TIMEREL      Time release
TIM          Timing
TINTF        The T interface is down.
T            Intials of person receiving report.
TIP          The installation practices
TIRKS        Trunk integrated record keeping system
TI           Test indication
TK           Local PBX trunk INTER/TRA blocal 1-26
TK           Trunk cable and pair number
TKT          Trouble ticket file
TL02         Reason test position test was denied - 1AESS traffic
TLC          Tail COSMOS
TLC          Translate lanavar/CPS
TLI          Telephone line identifier
TLK          Talk
TLM          Trouble locating manual
TL           Non-tandem tie trunk INTER/TRA blocal 1-26
TLN          Trunk line network
TLP          Transmission level point
TLPU         Telecommunications line processor unit
TLS          Tail switch
T&L          Termination
TL           Test line
TLTP         Trunk line and test panel
TLTP         Trunk line testrpanelng frame
TLWS         Trunk and line work station
TM1          Terminal 1 (IOS)
TMAS         Transport maintenance and administration systems
TMA          Trunk module analog
TMC          Timeslot management channel
TMDF         Trunk main distributing frame
TMD          Trunk module digital
TME          Trunk module equipment
TMMS         Telephone message management system
TMPS         Trunk maintenanceaposition
TMRS         Traffic measurement and recording system
TMRS         Traffic measurement (GTE)
TMRS         Traffic metering remote system
TMR          Transient memory record
TMS          Time-multiplexed switch
TMS          Time-multiplexed switching
TMS          Time mutiplexed switch
T&M          Talk-and-monitor
TM           Testmode
TM           Transverse magnetic
TM           Trasfer modus
TM           Trunk mantance
TMT          Traffic management.
TMX          Trunk module with x-interface
TN01         Trunk diagnostic found trouble - 1AESS trunk network
TN02         Dial tone delay alarm failure - 1AESS trunk network
TN04         Trunk diag request from test panel - 1AESS trunk network
TN05         Trunk test procedural report or denials - 1AESS trunk network
TN06         Trunk state change - 1AESS trunk network
TN07         Response to a trunk type and status request - 1AESS trunk network
TN08         Failed incoming or outgoing call - 1AESS trunk network
TN09         Network relay failures - 1AESS trunk network
TN10         Response to trk-list input usually a request from test position
TN11         Hourly status of trunk undergoing tests - 1AESS trunk network
TN16         Daily summary of precut trunk groups - 1AESS trunk network
TNC          Terminal node controller
TNDS         Total network data system
TNF          Telephone number format
TNN          Trunk network number
TNOP         Total network operation plan
TNOP         Total network operations plan
TNPC         Traffic network planning center
TNS          Telephone number swap
TN           Telephone number
TN           Tone (C/I channel code: wake up signal)
TN           Transaction number
TOC0         Reports status of less serious overload conditions - 1AESS traffic
TOC0         Serious traffic condition - 1AESS traffic overload
TOC          Television operating center
TOC          Transfer order completion
TOE          Transfer order establishment
TOF          Mass oe transfer order frame listings
TOI          Dial transfer order inquiry
TOL          Transfer order lists
TOO          Transfer order omissions
TOPQ         Top of queue (Quasi SDL)
TOPS         Timesharing operating system
TOPS         Traffic operator position system
TOP          Task-oriented practices
TOP          Technical office protocol
TOSS/MP      Traffic operator sequence simulator/mult purpose
TOS          Trunk orderf-service (list)
TO           Toll office
TOW          Transfer order withdrawal
TP 52A       SARTS test position 52A
TPC          TOPS (DMS) position controllers
TP           Dacs test port or test position
TPH          Transport protocol handler
TPMP         Tnds performance measurement plan
TPMP         Total network data system performance measurement plan
TPR          Taper code
TP           Test position
TP           Tie pair
TP           Toll point
TPU          Tie pair usage report
TQA          Trunk group queuing announcements
TQ           Television grade customized-service code for LATA access
TQ           Trunk query
TR01         Translation information - 1AESS
TRAC         Call tracing
TRANS        Transmit
TRBLORG      Origination trouble.
TRBL         Unspecified trouble.
TRB          Periodic trouble status reporting
TRCC         T-carrier restoration and control centers
TRCO         Trouble reporting control office
TRC          Transfer order recent change report
TREAT        Trouble reporteandsanalysisstool
TREAT        Trouble report evaluation analysis tool
TREQF        Transmission equipment failure.
TRE          Transmission equipment
TRFC15       Fifteen minute traffic report
TRG          Trouble reference guide
TRI          Tone ringer psb652x
TRI          Transmission equipment assignment inquiry
TRK          Analog or digital recorded announcement trunks
TRKBD        Trunk board.
TRKCT        Trunk circuit.
TRK          Trunks
TRMG         Terminal group
TRMSN        Transmission
TRMTR        Transmitter
TRM          Two mile optically remote switching module
TRM          Two-mile remote switching module
TRNS         Translations
TRR          Tip-ring reversal
TRR          Tip-ring reversal (MDII)
TRR          Tip-ring reverse
TR           Test register
T&R          Tip and ring
TR           Toll regions
TR           Transfer register
TR           Trunk reservation controls messages.
TR           Turret or automatic call distributor (ACD) trunk INTER/TRA blocal
T&R          Two wire phone connection
Trunk        Trunk
TRU          Transmit/receive unit
TRVR         Translation verification
TRW          Total reservation order withdrawal
TSA          Time slot assignment
TSCPF        Time switch and call processor frame
TSCPF        Time switch and central processor frame
TSC/RTU      Test systems controller/remote test unit
TSC          Test system controller
TSC          Tristate control
TSG          Timing signal generator
TSIIN        Time-slot interchange interrupt
TSI          Time-slot interchange
TSI          Time slot interchanger
TSI          Time slot interchangers
TSIU         Time slot interchange Unit
TSL          Line equipment summary report
TSMS         Traffic seperation measurement system
TSN          Test session number
TSN          Traffic statistics on telephone numbers
TSORT        Transmission system optimum relief tool
TSO          Time sharing option
TSPS         Traffic service position system
TSP          Test supervisor
TSP          Traffic service position
TSS          Trunk servicing system
TSS          Trunk servicing systems
TSST         Time-space-space-time network
TS           Test number
TS           Time slot
TSTS         Time-space-time-space network
TST          Test
TST          Time-space-time network
TST          Time-space-time switch (TSI-TMS-TSI)
TST          Transmission test
TST          Traveling-wave tube
TSV          Test ststus verification (monitor)
TSW          Total service order withdrawal
TTAA         Transmission theory and applacations
TTA          Terminating traffic area
TTC          Terminating toll center
T            Terminaltion
TTE          Trunk trafic engineering
TTFCOM       Test transmission facility common
TTFCOM       Transmission test facility common
?T           Time-out has occurred on channel
T            Tip
TTL          Transistor-transistor logic
TTMI         Trunkytransmission maintenance index
TTP          Trunk test panel
T-           Transportfunction-
TTR          Operator trunk trouble reports
TTR          Operator trunk trouble reports (MDII)
TTSI         Transmit time slot interchanger
TTS          Trunk time switch
TT           Teletypewriter channel INTER/TRA blocal 1-26
TTTN         Tandem tie trunk network
TT           Trunk type
TTU          Translation Table Update (GTE)
TTYC         Tty controller
TTY          Get tty name  - COSMOS command
TTY          Teletypewriter
TUCHBD       Trunk unit channel board
TUP          Telephone user part (SS7: q.72x)
TUR          Traffic usage recording
TUR          Trunk utilization report
TU           Transmit unit
TU           Trunk unit
TUT          Trunk under test
TU           Turret or automatic call distributor (acd) line INTER/TRA blocal
TV           TV channel one way 15khz audio-service code for LATA access
TW02         Dump of octal contents of memory - 1AESS translation
TW           TV channel one way 5khz audio-service code for LATA access
TW           Twist
TWX          Teletype writer exchange
TWX          Teletypewriter exchange
TXC          Text checker
TX           Dedicated facility INTER/TRA blocal 1-26
TXM          Transfer centrex management
TxSD         Transmit serial data
TX           Tone transceivers
TYP          Switch type
TYP          Type
